timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
-1,BA_LEFT_CLICK,0,,,,,,,,,,,,,
16836,BA_LEFT_CLICK,0,0.20039014497845858_0.8488823902191874_0.0008304634023069233,0.25634418244401913_0.8394001246532892_-0.00969444708591487,0.3073891557775582_0.7986065535138579_-0.014043132250327385,0.33815460516298546_0.7528700621722021_-0.0230873762297333,0.35744083831804124_0.7079331065995281_-0.02368254663785404,0.2895568891451403_0.6386936137230177_0.006429069907908496,0.31294966029919574_0.5800412257033325_-0.0055305382946941265,0.3287499341440603_0.5515072786227361_-0.0193904687001413,0.34279784960149223_0.5312708240329493_-0.05615811390583391,0.2621433546163011_0.6077338128994487_0.006541082298650204,0.28469524431088405_0.5178023871226773_-0.003974675231136813,0.30316660098681714_0.46603570775022074_-0.025923002560152487,0.3205776985837596_0.42559705895111766_-0.04875241317777943
16870,BA_LEFT_CLICK,0,0.20012975914835526_0.8490722164775656_0.0006947288575457646,0.25576689096482835_0.8396925545566157_-0.009805538726375787,0.3067427998799201_0.7990762780817773_-0.014122762111678535,0.3375586022002278_0.7534353686807854_-0.023216931122756065,0.3570530486909321_0.7088619061933188_-0.023629949110667754,0.28889207713489884_0.6393187148691002_0.006368524767116592,0.3122744285090557_0.5808363167061596_-0.0055520417364289774,0.3281053378639543_0.552275180293361_-0.01937130334250974,0.3421639176416278_0.5318509516381638_-0.056186255557574234,0.26156980077563674_0.6083172774084873_0.006558793141161489,0.28411216058618893_0.5184670683895481_-0.00400187748110925,0.3025163792963812_0.4667954257792629_-0.02573798451758534,0.31987880677807945_0.4261165278905694_-0.048455522246592136
16904,BA_LEFT_CLICK,0,0.2002057318572966_0.8497472155305328_0.0003351535131682645,0.2556634366686522_0.840449290818602_-0.009919103262842725,0.3066703896536919_0.7997376951148054_-0.013885981105053279,0.33754774125915993_0.7541193567465387_-0.02261085657136922,0.3572027502701895_0.7096128375233196_-0.022444582476553003,0.28865111607460303_0.6399185143566755_0.006478519290412176,0.31208267990937166_0.5813245938312364_-0.00536833213344021,0.3280554592178602_0.552895593224557_-0.01923571719545402,0.34227660673522_0.5325560472220912_-0.056094651316195655,0.2614357255310929_0.608886521321016_0.006580630697778931,0.2840762894812192_0.51915504909793_-0.004010772128396311,0.3025184459206255_0.4673384934001285_-0.02557629379778791,0.319912354237466_0.4263102426333479_-0.04817261758441361
16937,BA_LEFT_CLICK,0,0.20066205538787585_0.8505443849732545_0.00035425152223505103,0.2560431397100591_0.8412190932803394_-0.009679205737925394,0.3071491178524091_0.8004271294728869_-0.01347342035157192,0.3380555505951423_0.7548239869078511_-0.022022870463985482,0.3579324816263689_0.710331218314249_-0.021505891477534518,0.28898500194667276_0.6405129379158518_0.006560678124209014,0.3125463738774485_0.5817915452393971_-0.0053038066154702775,0.32870177265535505_0.5535618683326973_-0.01914501940264923,0.3430396467658921_0.5334948580909359_-0.05593957395918364,0.2618540650535517_0.6095386713834424_0.006572420081871406,0.28479747267269817_0.5199148843863762_-0.004140261397356255,0.30330298238728776_0.4677410649723306_-0.025399942959544567,0.3206667503409616_0.42633948438988145_-0.04787520041461494
16969,BA_LEFT_CLICK,0,0.20178490382415568_0.8514486248151515_-0.00014889636960667353,0.2569593041054649_0.8420272913593485_-0.009828412550621689,0.30824535939308756_0.8009706899369522_-0.013176374840598968,0.33925644718807374_0.7553704176108451_-0.02118300728627704,0.3595509318190395_0.7112801805115371_-0.019986038760717192,0.2897704982004046_0.6409745411972445_0.00672557390910766,0.3135986876277309_0.5816289149024552_-0.005108910046099367,0.330114031525697_0.5539890901747333_-0.018990139703389985,0.3448278308084046_0.5346069559612742_-0.05569518668704983,0.2627631883564705_0.6102098083569065_0.006623069440426553,0.2858921272890069_0.5205580266459113_-0.004380990434165369,0.3046102237203466_0.4680986942820943_-0.025458464833257605,0.3221170286888307_0.42659699887932157_-0.04778903500553534
17003,BA_LEFT_CLICK,0,0.2033585866449874_0.8520161028588655_-0.0009729536320928096,0.2584769784539734_0.8426779267802583_-0.010169434263653328,0.31000519874265_0.8015438568468702_-0.012927458252796864,0.3411997649129346_0.7560307577260663_-0.020092544616291227,0.36188224058767793_0.7123228418808483_-0.018300579274793848,0.2913382048004055_0.6413663186152968_0.007000562546113185,0.3156432888339505_0.5812908977109962_-0.00472769319381614,0.332526393486854_0.5543139518501748_-0.018758122059056748,0.34759625197811406_0.5359043538696664_-0.05538013677401349,0.2644010373547168_0.610765779501077_0.006723108635427256,0.28773509727607555_0.5207524158273797_-0.004472934201141652,0.30670467110464944_0.4679274751324015_-0.025567618359850254,0.3243977352424006_0.4266912577223843_-0.04772555054280413
17037,BA_LEFT_CLICK,0,0.205550649576076_0.8527018519945815_-0.002179387962513237,0.2605978714728192_0.8434959218990602_-0.01060900307841839,0.312413099070948_0.8020377836128721_-0.012658673974902897,0.3437979533716929_0.756662849188513_-0.018891046572549586,0.36485948643223953_0.713565989969675_-0.016421056815068235,0.29351231412833406_0.6415892368571117_0.0074323064068627775,0.31836618236148717_0.5810052251687665_-0.004228651458949244,0.33564929386281694_0.5548320008279792_-0.018497648980100624,0.35121110201965555_0.5374027299981989_-0.055056241954191565,0.26667257258053556_0.6111405328797312_0.006846161506439607,0.29014574302586227_0.5208577281407246_-0.004580462372128532,0.3094475515046913_0.4679074083629098_-0.025710738579214736,0.32752444143641324_0.42709610562897254_-0.0476638046586772
17067,BA_LEFT_CLICK,0,0.20823340222254447_0.8535011007553638_-0.004257600013965821,0.2633752598209251_0.84408496746157_-0.011637860772194399,0.3154159805461261_0.802204663078042_-0.012559172275091386,0.34710005636571983_0.7570733933454088_-0.017190178337751584,0.36870447580922855_0.714627480219606_-0.013518243653043358,0.2963354345698792_0.6416941623700583_0.007947772918516192,0.32177743118162444_0.580987866391422_-0.003502742894435244,0.339547262353132_0.5553395424653619_-0.017919764932695766,0.3557373831358813_0.5383264150700313_-0.05432925645893737,0.26962709314629185_0.6113698471297433_0.007023215437921175,0.29333625684859205_0.5210207395690067_-0.004475833492139472,0.31303444682432796_0.46800841846965524_-0.02557792465272039,0.33154977794924045_0.4275660570571942_-0.04723983448221367
17100,BA_LEFT_CLICK,0,0.21137759172928375_0.8539637123875858_-0.00600636393193758,0.26644290676459226_0.8443421755531184_-0.012417369971419918,0.31879472901697903_0.8020024971326607_-0.012136981298466664,0.35087015005397115_0.757214050198025_-0.015237426343010868,0.3732302966508009_0.7155942604627638_-0.010185700354945064,0.2995994672409406_0.6414764317522783_0.00848699822296603,0.325717793314898_0.5806627119936002_-0.002750146049614205,0.34400255740676705_0.5555628398553156_-0.017269084665539853,0.3608172138283462_0.5390456697528635_-0.053528686558293695,0.2731093040069322_0.6113105288115828_0.007168165337039859,0.2972093459024576_0.5208108777155387_-0.004347093118555937,0.31736432456075025_0.46786847479266147_-0.025400276087780716,0.33633154580147_0.4279034599550663_-0.046820835800759644
